"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"SubTitle:","Counties within State"
"Time:","01/1990 - 09/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-20). Employment and Unemployment - Non-Seasonally Adjusted: Unemployment | Albany, Berkshire, Goshen, Lincoln, Madison, Newport, Providence, Saratoga, Suffolk, Washington, Worcester, 01/1990 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-013-003 doi:https://doi.org/10.6068/DP184A09C29E252"
"ColumnCount:",13
"RowCount:",393

"Time","Albany, Wyoming, #","Albany, New York, #","Berkshire, Massachusetts, #","Goshen, Wyoming, #","Lincoln, Wyoming, #","Madison, New York, #","Newport, Rhode Island, #","Providence, Rhode Island, #","Saratoga, New York, #","Suffolk, Massachusetts, #","Washington, Rhode Island, #","Worcester, Massachusetts, #"
"05/2011",969,10474,5107,372,731,2637,4063,37061,7347,25656,6657,31651
"06/2011",1000,11447,5304,404,666,2785,3898,37893,7671,28894,6537,33803
"07/2011",889,11507,5205,379,618,2794,4009,40094,7653,29342,6951,33819
"08/2011",911,11373,4900,367,590,2716,4007,38957,7466,27368,6836,32269
"09/2011",864,11102,4912,361,589,2684,3702,37452,7540,27221,6475,31757
"10/2011",896,10777,4594,349,601,2622,3869,36905,7480,25036,6581,29318
"11/2011",941,10510,4589,354,621,2614,4347,36512,7412,23534,6817,28300
"12/2011",951,10966,4840,378,714,2929,4695,36020,7843,23409,6971,28901
"01/2012",1058,11971,5617,429,789,3336,5615,38350,8714,25965,7974,32615
"02/2012",1013,12238,5569,404,754,3474,5283,37971,9082,24695,7832,32297
"03/2012",1002,11465,5310,389,728,3249,4694,36208,8468,23385,7333,31148
"04/2012",864,10979,4622,380,680,2881,3879,33635,7813,22612,6562,28258
"05/2012",882,11484,4725,353,613,2857,3549,35145,8019,24311,6333,29810
"06/2012",999,12328,4936,377,582,3042,3461,36182,8285,27490,6291,32033
"07/2012",902,12579,5055,365,574,3036,3789,38114,8299,28354,6844,32922
"08/2012",864,12114,4663,353,508,2839,3760,36110,8041,26521,6585,30964
"09/2012",775,11100,4657,305,455,2692,3283,33377,7704,25198,5808,29425
"10/2012",813,11036,4452,299,486,2698,3464,32961,7640,24245,6091,28002
"11/2012",870,10310,4458,325,517,2675,3814,32334,7280,22826,6222,27640
"12/2012",843,10947,4855,311,552,2973,3983,32054,7938,23037,6310,29162
"01/2013",983,12192,5783,363,653,3446,5090,35712,8838,26770,7425,33970
"02/2013",889,11491,5428,321,585,3269,4712,33950,8585,24322,6914,32431
"03/2013",842,10327,5241,314,567,3002,4234,32430,7639,23126,6411,31152
"04/2013",771,9713,4671,338,536,2687,3655,30773,6954,22654,5813,28665
"05/2013",713,9907,4746,301,425,2546,3440,32536,6894,25613,5822,29684
"06/2013",822,10559,4950,324,430,2681,3384,33478,7171,28766,5910,32118
"07/2013",734,10521,4865,313,397,2648,3632,34890,7059,28707,6423,32029
"08/2013",696,10092,4514,284,366,2545,3695,33829,6708,26609,6299,29831
